ui_path,object_id,widget_class,policy,notification_profile,exclusion_reason
cui/uiconfig/ui/gallerysearchprogress.ui,GallerySearchProgress,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerythemedialog.ui,GalleryThemeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerythemeiddialog.ui,GalleryThemeIDDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerytitledialog.ui,GalleryTitleDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/galleryupdateprogress.ui,GalleryUpdateProgress,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/graphictestdlg.ui,GraphicTestsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaadddialog.ui,HangulHanjaAddDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaconversiondialog.ui,HangulHanjaConversionDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaeditdictdialog.ui,HangulHanjaEditDictDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaoptdialog.ui,HangulHanjaOptDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyperlinkdlg.ui,HyperlinkDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyperlinkmarkdialog.ui,HyperlinkMark,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyphenate.ui,HyphenateDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/iconchangedialog.ui,IconChange,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/iconselectordialog.ui,IconSelector,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/imageviewer.ui,ImageViewerDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertfloatingframe.ui,InsertFloatingFrameDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertoleobject.ui,InsertOLEObjectDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertrowcolumn.ui,InsertRowColumnDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/javaclasspathdialog.ui,JavaClassPath,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/javastartparametersdialog.ui,JavaStartParameters,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/linedialog.ui,LineDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/listdialog.ui,ListDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/macroassigndialog.ui,MacroAssignDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/macromanagerdialog.ui,MacroManagerDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/macroselectordialog.ui,MacroSelectorDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/mosaicdialog.ui,MosaicDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/movemenu.ui,MoveMenuDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/multipathdialog.ui,MultiPathDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/namedialog.ui,NameDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/newlibdialog.ui,NewLibDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/newtabledialog.ui,NewTableDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/newtoolbardialog.ui,NewToolbarDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/numberdialog.ui,NumberDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/objectnamedialog.ui,ObjectNameDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/objecttitledescdialog.ui,ObjectTitleDescDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/optionsdialog.ui,OptionsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/optnewdictionarydialog.ui,OptNewDictionaryDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/password.ui,PasswordDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/pastespecial.ui,PasteSpecialDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/percentdialog.ui,PercentDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/positionsizedialog.ui,PositionAndSizeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/posterdialog.ui,PosterDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/qrcodegen.ui,QrCodeGenDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querychangelineenddialog.ui,AskChangeLineEndDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletebitmapdialog.ui,AskDelBitmapDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletechartcolordialog.ui,QueryDeleteChartColorDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletecolordialog.ui,AskDelColorDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletedictionarydialog.ui,QueryDeleteDictionaryDialog,GtkMessageDialog,bottom-right-notification-form,default,
